scenario,event,date,strain,rt_type,trend,method,value,sigma
MTP,start,today,both,rt_eff,regional,scaled,1,0.2
MTP R0.7,start,today,both,rt,regional,scaled,1,0.2
MTP R0.7,scenario_1,2022-03-07,both,rt_eff,national,fixed,0.7,0.2
MTP R13,start,today,both,rt,regional,scaled,1,0.2
MTP R13,scenario_1,2022-03-07,both,rt,national,fixed,13,0.2
MTP Reffx2,start,today,both,rt,regional,scaled,1,0.2
MTP Reffx2,scenario_1,2022-03-07,both,rt_eff,national,scaled,2,0.2
MTP Rx2,start,today,both,rt,regional,scaled,1,0.2
MTP Rx2,scenario_1,2022-03-07,both,rt,national,scaled,2,0.2
